airflow,artificial intelligence,aws,azure,big data,business analysis,computer vision,dashboarding,data preprocessing,data visualization,databricks,dbt,etl,excel,gcp,ggplot2,hadoop,java,kpi,leadership,llm,market research,matplotlib,mongodb,mysql,nlp,numpy,oracle,pandas,postgresql,power bi,presentation,python,pytorch,r,scala,seaborn,snowflake,spark,sql,stakeholder management,statistics,tableau,tensorflow
1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,2.0,19.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,1.0,16.0,0.0,1.0,0.0,1.0,2.0,0.0,15.0,0.0,3.0,12.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,2.0,4.0,3.0,1.0,1.0,0.0,5.0,0.0,28.0,0.0,0.0,7.0,12.0,4.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,7.0,0.0,16.0,2.0,21.0,0.0,10.0,0.0,1.0,1.0,0.0,25.0,3.0,9.0,13.0,1.0
15.0,0.0,10.0,9.0,5.0,0.0,0.0,1.0,0.0,4.0,5.0,8.0,21.0,0.0,8.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,17.0,0.0,0.0,2.0,0.0,8.0,11.0,21.0,2.0,1.0,4.0,0.0
1.0,1.0,6.0,4.0,3.0,1.0,2.0,1.0,5.0,8.0,1.0,0.0,1.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,3.0,6.0,0.0,6.0,1.0,3.0,3.0,15.0,5.0,5.0,1.0,2.0,1.0,6.0,10.0,1.0,10.0,5.0,7.0
0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,5.0
1.0,0.0,4.0,0.0,11.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
